trimestre,segmento,centro_transferencia,menu,opcion,total_llamadas,porcentaje,misma_linea,linea_diferente,no_digito_telefono
Q01_25,Nacional,10928018,Desborde_Cabecera,INCLUENCER,6998,0.0601013,768,6230,0
Q01_25,Nacional,10728000,RES-FallaInternet,FM_ROBO_P,6894,0.0592081,94,6800,0
Q01_25,Nacional,15070012,RES_CambioDom,2L,6625,0.0568978,880,5745,0
Q01_25,Nacional,10928311,Desborde_Cabecera,QJA_ACAPULCO,6572,0.0564426,338,6234,0
Q01_25,Nacional,15070012,RES_Otros,2L,5926,0.0508946,1028,4898,0
Q01_25,Nacional,10228051,RES-FallaInternet,CASE_41,5740,0.0492971,669,5071,0
Q01_25,Nacional,CLIENTE_COLGO,RES-FallasLinea,FM_ROBO_P,5538,0.0475623,29,5509,0
Q01_25,Nacional,15070007,RES-Aparatos,DEFAULT,5522,0.0474249,1407,4115,0
Q01_25,Nacional,10728382,RES-Entr,NOBOT,5015,0.0430706,2215,2800,0
Q01_25,Nacional,10928270,Desborde_Cabecera,ONT_ECANCELA,4783,0.0410781,756,4027,0
Q01_25,Nacional,15070020,Desborde_Cabecera,QJA_AB_VOZ_2,3861,0.0331596,148,3713,0
Q01_25,Nacional,10928031,Desborde_Cabecera,MIGRAFTTH,3651,0.0313561,794,2857,0
Q01_25,Nacional,10828141,RES-FallaInternet,ACUNA,3581,0.0307549,172,3409,0
Q01_25,Nacional,15070012,RES-ContratacionInfinitum,2L,3436,0.0295096,942,2494,0
Q01_25,Nacional,10928137,RES-Falla-AntivirusMcAfee,DEFAULT,3412,0.0293035,928,2484,0
Q01_25,Nacional,10928124,Desborde_Cabecera,VINNETFLIX,3352,0.0287882,248,3104,0
Q01_25,Nacional,CLIENTE_COLGO,RES-ContratacionInfinitum,DEFAULT,3247,0.0278864,706,2541,0
Q01_25,Nacional,15070013,RES-Aparatos,DEFAULT,3221,0.0276631,805,2416,0
Q01_25,Nacional,CLIENTE_COLGO,RES-FallaInternet,FALLA_AMBAS_P,3116,0.0267613,203,2913,0
Q01_25,Nacional,CLIENTE_COLGO,RES-FallaInternet,FM_ROBO_P,2937,0.025224,18,2919,0
Q01_25,Nacional,10228051,RES-FallasLinea,CASE_41,2686,0.0230683,368,2318,0
Q01_25,Nacional,10728000,RES-FallaInternet,FALLA_CENTRAL_P,2595,0.0222868,277,2318,0
Q01_25,Nacional,CLIENTE_COLGO,RES-FallaInternet,FM_CFE_P,2417,0.020758,172,2245,0
Q01_25,Nacional,10928253,RES-FallaSegQja,QJA_AB_VOZ_2,2281,0.01959,51,2230,0
Q01_25,Nacional,10928335,Desborde_Cabecera,BUSTAVILLAL,2253,0.0193496,219,2034,0
Q01_25,Nacional,10928270,RES-FallaInternet,CAMBIONT_NC,2213,0.019006,411,1802,0
Q01_25,Nacional,10928306,Desborde_Cabecera,ECATEPEC_PORTA,2204,0.0189287,755,1449,0
Q01_25,Nacional,CLIENTE_COLGO,RES_CambioDom,DEFAULT,2110,0.0181214,184,1926,0
Q01_25,Nacional,CLIENTE_COLGO,RES_Otros,DEFAULT,2029,0.0174258,303,1726,0
Q01_25,Nacional,15070019,RES-FallasLinea,FM_CFE_P,1984,0.0170393,26,1958,0
Q01_25,Nacional,10928299,RES-FallaInternet,ECATEPEC,1851,0.015897,144,1707,0
Q01_25,Nacional,10928083,Desborde_Cabecera,CASOSDG,1845,0.0158455,211,1634,0
Q01_25,Nacional,15070012,RES-Entr,2L,1778,0.0152701,489,1289,0
Q01_25,Nacional,10928336,Desborde_Cabecera,SABIVALLE,1727,0.0148321,193,1534,0
Q01_25,Nacional,10928334,Desborde_Cabecera,ANALAMCAN,1569,0.0134751,229,1340,0
Q01_25,Nacional,19020046,RES-FallaInternet,SUS_COM,1367,0.0117403,30,1337,0
Q01_25,Nacional,130805596283474,RES-Falla-Dish,DEFAULT,1258,0.0108041,523,735,0
Q01_25,Nacional,11128125,Desborde_Cabecera,RETCOMBO,1099,0.0094386,191,908,0
Q01_25,Nacional,10828144,RES-ContratacionInfinitum,PQ_389,1042,0.0089491,290,752,0
Q01_25,Nacional,130806646350495,RES_CambioDom,CECOR,1019,0.0087515,129,890,0
Q01_25,Nacional,130806646350495,RES-MADT-Detalle,CECOR,988,0.0084853,171,817,0
Q01_25,Nacional,10428105,Desborde_Cabecera,MEGACABLE,924,0.0079356,325,599,0
Q01_25,Nacional,15070012,RES_CambioTit,2L,846,0.0072657,156,690,0
Q01_25,Nacional,CLIENTE_COLGO,RES-Aparatos,DEFAULT,809,0.006948,191,618,0
Q01_25,Nacional,130806646350495,RES_Otros,CECOR,790,0.0067848,176,614,0
Q01_25,Nacional,CASO_NULL,RES_Cambios,DEFAULT,768,0.0065959,118,650,0
Q01_25,Nacional,10828022,RES-FallaInternet,ERMITAT,755,0.0064842,72,683,0
Q01_25,Nacional,11228178,RES-FallaInternet,POT_A_VSI_TDM,659,0.0056597,41,618,0
Q01_25,Nacional,10928253,RES-FallaSegQja,QJA_AB_DAT_2,643,0.0055223,3,640,0
Q01_25,Nacional,10928253,RES-FallaSegQja,QJA_AB_DAT_1,631,0.0054192,1,630,0
Q01_25,Nacional,15070012,RES_Cambios,2L,610,0.0052389,134,476,0
Q01_25,Nacional,10928253,RES-FallaSegQja,QJA_AB_VSI_1,585,0.0050242,1,584,0
Q01_25,Nacional,15070019,RES-FallasLinea,FM_NATURAL_P,584,0.0050156,73,511,0
Q01_25,Nacional,CASO_NULL,RES_CambioTit,DEFAULT,571,0.0049039,60,511,0
Q01_25,Nacional,CLIENTE_COLGO,RES-FallaInternet,FALLA_CENTRAL_P,443,0.0038046,47,396,0
Q01_25,Nacional,309004,RES-SaldooPagos,DEFAULT,408,0.003504,17,391,0
Q01_25,Nacional,10928253,RES-FallaSegQja,QJA_AB_VSI_2,381,0.0032722,5,376,0
Q01_25,Nacional,CLIENTE_COLGO,RES_OcultaVta,DEFAULT,374,0.003212,46,328,0
Q01_25,Nacional,19020049,Desborde_Cabecera,COD_SUSP_7,320,0.0027483,0,320,0
Q01_25,Nacional,1309005,RES-TAE,DEFAULT,282,0.0024219,82,200,0
Q01_25,Nacional,14928960,RES-Falla-MVSHUB,DEFAULT,205,0.0017606,49,156,0
Q01_25,Nacional,10728494,RES-DISH,DEFAULT,199,0.0017091,62,137,0
Q01_25,Nacional,CLIENTE_COLGO,Desborde_Cabecera,QJA_AB_1,185,0.0015888,4,181,0
Q01_25,Nacional,CLIENTE_COLGO,RES_Otros,2L,181,0.0015545,26,155,0
Q01_25,Nacional,CLIENTE_COLGO,RES-Entr,2L,174,0.0014944,43,131,0
Q01_25,Nacional,CLIENTE_COLGO,RES-ContratacionInfinitum,2L,160,0.0013741,28,132,0
Q01_25,Nacional,11228108,RES-ContratacionInfinitum,LAREDO,153,0.001314,30,123,0
Q01_25,Nacional,CASO_NULL,SIN_MENU,SIN_OPCION,151,0.0012968,20,10,121
Q01_25,Nacional,10828073,RES-MADT-MVSHUB,DEFAULT,144,0.0012367,46,98,0
Q01_25,Nacional,1309013,RES_CambioTit,CECOR,141,0.001211,28,113,0
Q01_25,Nacional,10728493,RES-SegurosInbursa,DEFAULT,130,0.0011165,43,87,0
Q01_25,Nacional,130806646350495,RES-ContratacionInfinitum,CECOR,116,0.0009962,27,89,0
Q01_25,Nacional,130806646350495,RES_Cambios,CECOR,108,0.0009275,28,80,0
Q01_25,Nacional,309004,RES-Saldos-WT,DEFAULT,107,0.000919,2,105,0
Q01_25,Nacional,15070006,RES-ClaroDrive,DEFAULT,85,0.00073,23,62,0
Q01_25,Nacional,15070013,RES-StartGo,DEFAULT,80,0.0006871,13,67,0
Q01_25,Nacional,19020086,SIN_MENU,SIN_OPCION,76,0.0006527,6,11,59
Q01_25,Nacional,CLIENTE_COLGO,RES-FallaInternet,DG,67,0.0005754,1,66,0
Q01_25,Nacional,15070036,Desborde_Cabecera,CLIENTESAPP,59,0.0005067,0,59,0
Q01_25,Nacional,CLIENTE_COLGO,RES-FallasLinea,FM,53,0.0004552,0,53,0
Q01_25,Nacional,10528004,Desborde_Cabecera,MEGACABLE,47,0.0004037,8,39,0
Q01_25,Nacional,10828094,Desborde_Cabecera,RETARGETING,44,0.0003779,1,43,0
Q01_25,Nacional,15070006,RES-StartGo,DEFAULT,42,0.0003607,12,30,0
Q01_25,Nacional,309013,RES-FallaInternet,CECOR,35,0.0003006,0,35,0
Q01_25,Nacional,15070019,RES-FallaInternet,PARO_RELOJ,31,0.0002662,1,30,0
Q01_25,Nacional,CLIENTE_COLGO,RES_Cambios,2L,26,0.0002233,4,22,0
Q01_25,Nacional,10928253,RES-FallaSegQja,QJA_AB_VOZ_1,17,0.000146,0,17,0
Q01_25,Nacional,10128025,RES-ContratacionInfinitum,SUS_COM,14,0.0001202,1,13,0
Q01_25,Nacional,10828081,RES-FallaInternet,DEFAULT,14,0.0001202,0,14,0
Q01_25,Nacional,CLIENTE_COLGO,RES-FallaInternet,FM,14,0.0001202,1,13,0
Q01_25,Nacional,CLIENTE_COLGO,Desborde_Cabecera,ECATEPEC_4hrs,12,0.0001031,0,12,0
Q01_25,Nacional,CLIENTE_COLGO,RES-SegurosInbursa,DEFAULT,11,9.45e-05,5,6,0
Q01_25,Nacional,CLIENTE_COLGO,RES-DISH,DEFAULT,8,6.87e-05,2,6,0
Q01_25,Nacional,309013,RES-FallasLinea,CECOR,7,6.01e-05,0,7,0
Q01_25,Nacional,CASO_NULL,Desborde_Cabecera,QJA_AB_2,7,6.01e-05,0,7,0
Q01_25,Nacional,CLIENTE_COLGO,RES-StartGo,DEFAULT,4,3.44e-05,0,4,0
Q01_25,Nacional,CASO_NULL,Desborde_Cabecera,QJA_AB_DAT_2,3,2.58e-05,0,3,0
Q01_25,Nacional,130806646350495,RES-SegurosInbursa,CECOR,2,1.72e-05,0,2,0
Q01_25,Nacional,CLIENTE_COLGO,Desborde_Cabecera,BLACKLIST,2,1.72e-05,0,2,0
Q01_25,Nacional,CLIENTE_COLGO,NOTMX-SeguimientoInstalacion,SIN_OPCION,2,1.72e-05,2,0,0
Q01_25,Nacional,130806646350495,RES-DISH,CECOR,1,8.6e-06,0,1,0
Q01_25,Nacional,130806646350495,RES-TAE,CECOR,1,8.6e-06,0,1,0
Q01_25,Nacional,30806646350495,RES_CambioDom,CECOR,1,8.6e-06,0,1,0
Q01_25,Nacional,CASO_NULL,Desborde_Cabecera,VINNETFLIX,1,8.6e-06,1,0,0
Q01_25,Nacional,CASO_NULL,RES-FallasLinea,FM_ROBO_P,1,8.6e-06,0,1,0
Q01_25,Nacional,CLIENTE_COLGO,RES-ClaroDrive,DEFAULT,1,8.6e-06,0,1,0
Q01_25,Nacional,CLIENTE_COLGO,RES-FallaSegQja,SIN_OPCION,1,8.6e-06,0,1,0
Q01_25,Nacional,CLIENTE_COLGO,RES-MADT-Detalle,SIN_OPCION,1,8.6e-06,0,1,0
Q01_25,Nacional,CLIENTE_COLGO,RES-SaldooPagos,SIN_OPCION,1,8.6e-06,0,1,0
Q01_25,Puebla,19020086,cliente_colgo,SIN_OPCION,117215,1.0066835,8171,14672,94372
Q01_25,Puebla,10828091,RES-Fallas_2024,VSI,55582,0.4773577,5692,49890,0
Q01_25,Puebla,15070019,RES-Fallas_2024,DEFAULT,50226,0.4313585,2364,47844,18
Q01_25,Puebla,10728487,NOTMX-SeguimientoInstalacion,DEFAULT,40515,0.347957,35224,5291,0
Q01_25,Puebla,309004,RES-SaldosPagos_2024,DEFAULT,39400,0.338381,7484,31910,6
Q01_25,Puebla,CLIENTE_COLGO,SIN_MENU,SIN_OPCION,38732,0.332644,28737,9594,401
Q01_25,Puebla,15070013,RES-ContratacionInfinitum_2024,DEFAULT,34141,0.2932149,4969,29170,2
Q01_25,Puebla,15070006,RES-ContratacionInfinitum_2024,DEFAULT,24307,0.208757,3032,21267,8
Q01_25,Puebla,19020086,SinOpcion_Cabecera,SIN_OPCION,18211,0.1564025,106,1794,16311
Q01_25,Puebla,15070059,NOTMX-CONT-Contratacion,DEFAULT,15424,0.1324667,13926,1498,0
Q01_25,Puebla,10428174,Desborde_Cabecera,TELVICOBRA,15207,0.1306031,1491,13716,0
Q01_25,Puebla,19020086,Marque3,SIN_OPCION,13687,0.1175488,158,1547,11982
Q01_25,Puebla,CLIENTE_COLGO,Desborde_Cabecera,QJA_AB_1,9074,0.0779307,132,8942,0
Q01_25,Puebla,10828091,RES-FallaInternet_2024,DEFAULT,8470,0.0727433,723,7747,0
Q01_25,Puebla,10728487,RES-SegInst_2024,DEFAULT,5446,0.0467722,613,4831,2
Q01_25,Puebla,10728485,NOTMX-CONT-Portabilidad,DEFAULT,5416,0.0465145,4891,525,0
Q01_25,Puebla,CLIENTE_COLGO,RES-ContratacionInfinitum_2024,DEFAULT,5165,0.0443588,599,4566,0
Q01_25,Puebla,19020086,Desborde_Promocional,SIN_OPCION,3228,0.0277232,1357,1871,0
Q01_25,Puebla,19010000,RES-FallaInternet_2024,DEFAULT,3094,0.0265724,273,2821,0
Q01_25,Puebla,10728000,RES-Fallas_2024,FALLA_AMBAS_P,1945,0.0167043,42,1903,0
Q01_25,Puebla,11028186,Desborde_Cabecera,VINNETFLIX,1783,0.015313,89,1694,0
Q01_25,Puebla,14928994,Desborde_Cabecera,TELECOBRA,1635,0.014042,66,1569,0
Q01_25,Puebla,10928253,Desborde_Cabecera,QJA_AB_DAT_1,1233,0.0105894,8,1225,0
Q01_25,Puebla,15070019,RES-Fallas_2024,FM_CFE_P,1204,0.0103404,12,1192,0
Q01_25,Puebla,10428163,Desborde_Cabecera,MES_1,1124,0.0096533,169,955,0
Q01_25,Puebla,14929014,NOTMX-CONT-Portabilidad,DEFAULT,965,0.0082878,774,191,0
Q01_25,Puebla,CLIENTE_COLGO,NOTMX-CONT-Contratacion,DEFAULT,778,0.0066817,676,102,0
Q01_25,Puebla,10428163,Desborde_Cabecera,ADEUDO_1Y2,553,0.0047494,70,483,0
Q01_25,Puebla,CLIENTE_COLGO,RES-Fallas_2024,FALLA_AMBAS_P,533,0.0045776,11,522,0
Q01_25,Puebla,10428163,Desborde_Cabecera,MES_2,284,0.0024391,37,247,0
Q01_25,Puebla,CLIENTE_COLGO,Desborde_Cabecera,QJA_AB_DAT_2,224,0.0019238,7,217,0
Q01_25,Puebla,10928299,Desborde_Cabecera,ECATEPEC,205,0.0017606,17,188,0
Q01_25,Puebla,10928253,Desborde_Cabecera,QJA_AB_VSI_1,197,0.0016919,2,195,0
Q01_25,Puebla,15070019,RES-FallaInternet_2024,FM_CFE_P,188,0.0016146,0,188,0
Q01_25,Puebla,10928124,Desborde_Cabecera,VINNETFLIX,181,0.0015545,7,174,0
Q01_25,Puebla,10928253,Desborde_Cabecera,QJA_AB_3,163,0.0013999,1,162,0
Q01_25,Puebla,CLIENTE_COLGO,Desborde_Cabecera,QJA_AB_2,159,0.0013655,3,156,0
Q01_25,Puebla,10928018,Desborde_Cabecera,INCLUENCER,133,0.0011423,18,115,0
Q01_25,Puebla,10928031,Desborde_Cabecera,MIGRAFTTH,132,0.0011337,10,122,0
Q01_25,Puebla,10728000,RES-FallaInternet_2024,FALLA_AMBAS_P,76,0.0006527,6,70,0
Q01_25,Puebla,10428105,Desborde_Cabecera,MEGACABLE,74,0.0006355,19,55,0
Q01_25,Puebla,19020076,Desborde_Cabecera,ECATEPEC_FM,68,0.000584,0,68,0
Q01_25,Puebla,CLIENTE_COLGO,Desborde_Cabecera,QJA_AB_VSI_2,68,0.000584,4,64,0
Q01_25,Puebla,15070020,Desborde_Cabecera,QJA_AB_VOZ_2,66,0.0005668,0,66,0
Q01_25,Puebla,19020078,Desborde_Cabecera,ECATEPEC_QJA,65,0.0005582,5,60,0
Q01_25,Puebla,10928270,Desborde_Cabecera,ONT_ECANCELA,55,0.0004724,8,47,0
Q01_25,Puebla,10928083,Desborde_Cabecera,CASOSDG,48,0.0004122,6,42,0
Q01_25,Puebla,15070020,Desborde_Cabecera,QJA_AB_VOZ_1,42,0.0003607,3,39,0
Q01_25,Puebla,10928311,Desborde_Cabecera,QJA_ACAPULCO,39,0.0003349,0,39,0
Q01_25,Puebla,11128125,Desborde_Cabecera,RETCOMBO,24,0.0002061,4,20,0
Q01_25,Puebla,CLIENTE_COLGO,RES-FallaInternet_2024,FALLA_AMBAS_P,14,0.0001202,1,13,0
Q01_25,Puebla,10728000,RES-Fallas_2024,FALLA_CENTRAL_P,13,0.0001116,1,12,0
Q01_25,Puebla,CASO_NULL,SIN_MENU,SIN_OPCION,12,0.0001031,0,0,12
Q01_25,Puebla,10728000,RES-FallaInternet_2024,FALLA_CENTRAL_P,5,4.29e-05,0,5,0
Q01_25,Puebla,10928306,Desborde_Cabecera,ECATEPEC_PORTA,3,2.58e-05,1,2,0
Q01_25,Puebla,CLIENTE_COLGO,RES-Fallas_2024,FALLA_CENTRAL_P,3,2.58e-05,0,3,0
Q01_25,Puebla,10528004,Desborde_Cabecera,MEGACABLE,2,1.72e-05,0,2,0
Q01_25,Puebla,10928334,Desborde_Cabecera,ANALAMCAN,1,8.6e-06,1,0,0
Q01_25,Puebla,10928335,Desborde_Cabecera,BUSTAVILLAL,1,8.6e-06,0,1,0
Q01_25,Puebla,15070019,RES-Fallas_2024,PARO_RELOJ,1,8.6e-06,0,1,0
Q01_25,Puebla,19020049,Desborde_Cabecera,COD_SUSP_7,1,8.6e-06,0,1,0
Q01_25,Puebla,CLIENTE_COLGO,RES-SaldosPagos_2024,SIN_OPCION,1,8.6e-06,0,1,0
Q02_25,Nacional,19020086,cliente_colgo,SIN_OPCION,2752431,20.2200645,246870,381517,2124044
Q02_25,Nacional,CLIENTE_COLGO,SIN_MENU,SIN_OPCION,1117134,8.206753,676391,440168,575
Q02_25,Nacional,19010000,RES_FALLA_STOP,DEFAULT,802032,5.8919329,20442,781590,0
Q02_25,Nacional,19020088,NOTMX-SeguimientoInstalacion,DEFAULT,721520,5.3004711,655756,65764,0
Q02_25,Nacional,10828091,RES-FallaInternet,DEFAULT,540366,3.9696673,78277,462088,1
Q02_25,Nacional,10728487,NOTMX-SeguimientoInstalacion,DEFAULT,510008,3.7466496,462449,47559,0
Q02_25,Nacional,15070013,RES-MADT-Detalle,DEFAULT,460804,3.3851844,102203,358599,2
Q02_25,Nacional,10428174,Desborde_Cabecera,TELVICOBRA,449801,3.3043536,58868,390933,0
Q02_25,Nacional,19020086,SinOpcion_Cabecera,SIN_OPCION,418662,3.0755985,0,0,418662
Q02_25,Nacional,19020086,Desborde_Promocional,SIN_OPCION,381962,2.8059909,234257,147705,0
Q02_25,Nacional,19010000,RES-FallaInternet,DEFAULT,348050,2.5568646,50394,297655,1
Q02_25,Nacional,15070059,NOTMX-CONT-Contratacion,DEFAULT,323074,2.3733845,292307,30767,0
Q02_25,Nacional,309004,RES-SaldooPagos,DEFAULT,282335,2.0741054,72795,209540,0
Q02_25,Nacional,19020086,Marque3,SIN_OPCION,258940,1.9022397,0,0,258940
Q02_25,Nacional,CLIENTE_COLGO,Desborde_Cabecera,QJA_AB_1,232865,1.710686,6610,226255,0
Q02_25,Nacional,15070013,NoTMX_SinOp,NoTMX_SinOp,186412,1.3694304,174489,11923,0
Q02_25,Nacional,15070019,RES-FallasLinea,DEFAULT,181100,1.3304071,28196,152904,0
Q02_25,Nacional,10928253,Desborde_Cabecera,QJA_DAT_ROJA,174025,1.2784323,3359,170666,0
Q02_25,Nacional,10928253,Desborde_Cabecera,QJA_AB_DAT_1,157151,1.1544716,3491,153660,0
Q02_25,Nacional,1309004,RES-SaldooPagos,DEFAULT,155601,1.1430849,34895,120706,0
Q02_25,Nacional,14929014,NOTMX-CONT-Portabilidad,DEFAULT,145199,1.0666691,131135,14064,0
Q02_25,Nacional,10828091,RES-FallaInternet,NOBOT,127074,0.9335182,30943,96131,0
Q02_25,Nacional,CLIENTE_COLGO,MASI_RepiteBoleta,DEFAULT,106534,0.7826261,2532,104002,0
Q02_25,Nacional,10928253,RES-FallaSegQja,DEFAULT,94988,0.6978062,16055,78933,0
Q02_25,Nacional,10728009,RES-AsistenciaTelmexcom,DEFAULT,93847,0.6894241,23367,70480,0
Q02_25,Nacional,10728382,RES-Entr,DEFAULT,90531,0.665064,20785,69746,0
Q02_25,Nacional,19010000,RES-FallasLinea,DEFAULT,86605,0.6362226,12244,74361,0
Q02_25,Nacional,14928994,Desborde_Cabecera,TELECOBRA,84688,0.6221398,6282,78406,0
Q02_25,Nacional,10928253,Desborde_Cabecera,QJA_AB_VSI_1,84557,0.6211774,944,83613,0
Q02_25,Nacional,CLIENTE_COLGO,Desborde_Cabecera,QJA_DAT_VERDE,73582,0.5405523,2274,71308,0
Q02_25,Nacional,15070006,RES-ContratacionInfinitum_FM,DEFAULT,71062,0.5220397,1766,69296,0
Q02_25,Nacional,10928253,Desborde_Cabecera,QJA_VSI_ROJA,69354,0.5094923,729,68625,0
Q02_25,Nacional,15070004,RES_CambioDom,DEFAULT,63049,0.4631741,6714,56335,0
Q02_25,Nacional,15070002,RES_Otros,DEFAULT,60790,0.4465789,12898,47892,0
Q02_25,Nacional,CLIENTE_COLGO,Desborde_Cabecera,QJA_AB_2,57766,0.4243639,1181,56585,0
Q02_25,Nacional,CLIENTE_COLGO,Desborde_Cabecera,QJA_AB_DAT_2,57131,0.419699,2004,55127,0
Q02_25,Nacional,309004,RES-Saldos-WT,DEFAULT,51291,0.3767968,12134,39157,0
Q02_25,Nacional,10728381,RES-FallaEntretiene,DEFAULT,46598,0.3423209,9727,36871,0
